HS 2002 Product Code,HS 2002 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
790112,Containing by weight less than 99.99 % of zinc,68611,"Zinc, not alloyed"
790120,Zinc alloys,68612,Zinc alloys
790200,Zinc waste and scrap.,28825,Zinc waste & scrap (other than dust)
790310,Zinc dust,68633,"Zinc dust (blue powder), powders & flakes"
790390,Other,68633,"Zinc dust (blue powder), powders & flakes"
790400,"Zinc bars, rods, profiles and wire.",68631,"Zinc bars, rods, profiles & wire"
790500,"Zinc plates, sheets, strip and foil.",68632,"Zinc plates, sheets, strip & foil"
790600,"Zinc tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves).",69977,"Articles of zinc, n.e.s."
790700,Other articles of zinc.,69977,"Articles of zinc, n.e.s."
800110,"Tin, not alloyed",68711,"Tin, not alloyed"
800120,Tin alloys,68712,Tin alloys
800200,Tin waste and scrap.,28826,Tin waste & scrap
800300,"Tin bars, rods, profiles and wire.",6872,"Tin bars, rods, profiles & wire"
800400,"Tin plates, sheets and strip, of a thickness exceeding 0.2 mm.",69978,"Articles of tin, n.e.s."
800500,"Tin foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials), of a thickness (excluding any backing) not exceeding 0.2 mm; tin powders and flakes.",69978,"Articles of tin, n.e.s."
800600,"Tin tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves).",69978,"Articles of tin, n.e.s."
800700,Other articles of tin.,69978,"Articles of tin, n.e.s."
810110,Powders,68911,"Tungsten (wolfram), unwrought; tungsten waste & scrap"
810194,"Unwrought tungsten, including bars and rods obtained simply by sintering",68911,"Tungsten (wolfram), unwrought; tungsten waste & scrap"
810195,"Bars and rods, other than those obtained simply by sintering, profiles, plates, sheets, strip and foil",69991,"Tungsten,wrght,artcl.nes"
810196,Wire,69991,"Tungsten,wrght,artcl.nes"
810197,Waste and scrap,68911,"Tungsten (wolfram), unwrought; tungsten waste & scrap"
810199,Other,69991,"Tungsten,wrght,artcl.nes"
810210,Powders,68912,"Molybdenum, unwrought; molybdenum waste & scrap"
810294,"Unwrought molybdenum, including bars and rods obtained simply by sintering",68912,"Molybdenum, unwrought; molybdenum waste & scrap"
