HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 3 Product Code,SITC Revision 3 Product Description
300620,Bloodgrouping reagents,54192,Blood grouping reagents
300630,Opacifying preparations for Xray examinations; diagnostic reagents designed to be administered to the patient,54193,X-ray opacifiers
300640,Dental cements and other dental fillings; bone reconstruction cements,54199,Oth pharmaceutical goods
300650,Firstaid boxes and kits,54199,Oth pharmaceutical goods
300660,"Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",54199,Oth pharmaceutical goods
300670,(2002-) Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,59899,"Oth chem prods,preps,nes"
300680,(2002-2006) Waste pharmaceuticals,54199,Oth pharmaceutical goods
310100,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers produced by the mixing or chemical treatment of animal or vegetable products.",2721,"Animal,veg fertlzr,crude"
310210,"Urea, whether or not in aqueous solution",56216,Urea (fertilizer)
310221,Ammonium sulphate,56213,Ammonium sulphate fert.
310229,Other,56212,Ammonium sulphonitrate f
310230,"Ammonium nitrate, whether or not in aqueous solution",56211,Ammonium nitrate fert.
310240,Mixtures of ammonium nitrate with calcium carbonate or other inorganic nonfertilising substances,56219,Chem nitrog fertilzr nes
310250,Sodium nitrate,2722,Sodium nitrate fertilizr
310260,Double salts and mixtures of calcium nitrate and ammonium nitrate,56214,Ammonium-calcium nitrate
310270,(-2006) Calcium cyanamide,56215,Calcium cyanamide fert.
310280,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution,56217,Urea+ammonium nitrat mix
310290,"Other, including mixtures not specified in the foregoing subheadings",56219,Chem nitrog fertilzr nes
310310,Superphosphates,56222,Superphosphates
310320,(-2006) Basic slag,56221,Basic slag (thomas slag)
310390,Other,56229,Chem phosph fertilzr nes
310410,"(-2006) Carnallite, sylvite and other crude natural potassium salts",2724,Ntrl potassium salts
310420,Potassium chloride,56231,Potassium chloride fert.
310430,Potassium sulphate,56232,Potassium sulphate fert.
310490,Other,56239,Chem potass fertilzr nes
310510,Goods of this Chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg,56296,Fertilizers retail packs
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus and potassium",56291,Nit-phos-pot fertlzr nes
310530,Diammonium hydrogenorthophosphate (diammonium phosphate),56293,Diammonium phosphate fer
310540,Ammonium dihydrogenorthophosphate (monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (diammonium phosphate),56294,Monoammonium phosphate f
310551,Containing nitrates and phosphates,56295,Nitrog-phos fertilzr nes
310559,Other,56295,Nitrog-phos fertilzr nes
310560,Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium,56292,Phos-potash fertilizers
310590,Other,56299,Fertilizers nes
320110,Quebracho extract,53221,"Veg tann extrcts,tannins"
320120,Wattle extract,53221,"Veg tann extrcts,tannins"
320130,(-1995) Oak or chestnut extract,53221,"Veg tann extrcts,tannins"
320190,Other,53221,"Veg tann extrcts,tannins"
320210,Synthetic organic tanning substances,53231,Synth org tanning subst
320290,Other,53232,Synth inorg tanning subs
320300,"Colouring matter of vegetable or animal origin (including dyeing extracts but excluding animal black), whether or not chemically defined; preparations as specified in Note 3 to this Chapter based on colouring matter of vegetable or animal origin.",53222,Anim/veg coloring matter
320411,Disperse dyes and preparations based thereon,53111,Disperse dyes/preparatns
320412,"Acid dyes, whether or not premetallised, and preparations based thereon; mordant dyes and preparations based thereon",53112,Acid/mordant dyes/preps
320413,Basic dyes and preparations based thereon,53113,Basic dyes/preparations
