HS 2017,BEC,Relationship
290378,22,n:1
290379,22,n:1
290381,22,n:1
290382,22,n:1
290383,22,n:1
290389,22,n:1
290391,22,n:1
290392,22,n:1
290393,22,n:1
290394,22,n:1
290399,22,n:1
290410,22,n:1
290420,22,n:1
290431,22,n:1
290432,22,n:1
290433,22,n:1
290434,22,n:1
290435,22,n:1
290436,22,n:1
290491,22,n:1
290499,22,n:1
290511,22,n:1
290512,22,n:1
290513,22,n:1
290514,22,n:1
290516,22,n:1
290517,22,n:1
290519,22,n:1
290522,22,n:1
290529,22,n:1
290531,22,n:1
290532,22,n:1
290539,22,n:1
290541,22,n:1
290542,22,n:1
290543,22,n:1
290544,22,n:1
290545,22,n:1
290549,22,n:1
290551,22,n:1
290559,22,n:1
290611,22,n:1
290612,22,n:1
290613,22,n:1
290619,22,n:1
290621,22,n:1
290629,22,n:1
290711,22,n:1
290712,22,n:1
290713,22,n:1
290715,22,n:1
290719,22,n:1
290721,22,n:1
290722,22,n:1
290723,22,n:1
290729,22,n:1
290811,22,n:1
290819,22,n:1
290891,22,n:1
290892,22,n:1
290899,22,n:1
290911,22,n:1
290919,22,n:1
290920,22,n:1
290930,22,n:1
290941,22,n:1
290943,22,n:1
290944,22,n:1
290949,22,n:1
290950,22,n:1
290960,22,n:1
291010,22,n:1
291020,22,n:1
291030,22,n:1
291040,22,n:1
291050,22,n:1
291090,22,n:1
291100,22,n:1
291211,22,n:1
291212,22,n:1
291219,22,n:1
291221,22,n:1
291229,22,n:1
291241,22,n:1
291242,22,n:1
291249,22,n:1
291250,22,n:1
291260,22,n:1
291300,22,n:1
291411,22,n:1
291412,22,n:1
291413,22,n:1
291419,22,n:1
291422,22,n:1
291423,22,n:1
291429,22,n:1
291431,22,n:1
291439,22,n:1
291440,22,n:1
291450,22,n:1
291461,22,n:1
291462,22,n:1
291469,22,n:1
291471,22,n:1
291479,22,n:1
291511,22,n:1
291512,22,n:1
291513,22,n:1
291521,22,n:1
291524,22,n:1
291529,22,n:1
291531,22,n:1
291532,22,n:1
291533,22,n:1
291536,22,n:1
291539,22,n:1
291540,22,n:1
291550,22,n:1
